AAA 177	  Independent Studies	  (0-6)	
MUS 242R	  Applied Music Cello- SO	  (2)	
MUS 242S	  Applied Music String Bass- SO	  (2)	
MUS 242T	  Applied Music Harp- SO	  (2)	
MUS 244	  Applied Music	  (3-4)	
MUS 244A	  Applied Music Voice- SO	  (3-4)	
MUS 244B	  Applied Music Piano- SO	  (3-4)	
MUS 244C	  Applied Guitar- SO	  (3)	
MUS 244D	  Applied Music Flute- SO	  (3-4)	
MUS 244E	  Applied Music Clarinet- SO	  (3-4)	
MUS 244F	  Applied Music Saxophone- SO	  (3-4)	
MUS 244G	  Applied Music Oboe- SO	  (3-4)	
MUS 244H	  Applied Music Bassoon- SO	  (3-4)	
MUS 244I	  Applied Music Trumpet- SO	  (3-4)	
MUS 244J	  Applied Music French Horn- SO	  (3-4)	
MUS 244K	  Applied Music Trombone- SO	  (3-4)	
MUS 244L	  Applied Music Euphonium- SO	  (3-4)	
MUS 244M	  Applied Music Tuba- SO	  (3-4)	
MUS 244N	  Applied Music Percussion- SO	  (3-4)	
MUS 244O	  Applied Music Violin- SO	  (3-4)	
MUS 244P	  Applied Music Viola- SO	  (3-4)	
MUS 244R	  Applied Music Cello-SO	  (3-4)	
MUS 244S	  Applied Music String Bass- SO	  (3-4)	
MUS 244T	  Applied Music Harp- SO	  (3-4)	
MUS 244Z	  Applied Music-Composition	  (3)	
MUS 249	  Classroom Instruments: World Percussion	  (1)	
MUS 251	  Theory of Music: Aural Skills III	  (1)	
MUS 252	  Theory of Music: Aural Skills IV	  (1)	
MUS 260	  Functional Piano III	  (1)	
MUS 261	  Functional Piano IV	  (1)	
MUS 262	  Jazz Improvisation I	  (1)	
MUS 275	  Sophomore Practicum in Music Education	  (1)	
MUS 277	  Independent Studies	  (0-6)	
MUS 285	  Introduction to African American Music	  (3) (MPF, MPT)	
MUS 287	  Enter the Diva: Women in Music	  (3) (MPF)	
MUS 301	  Counterpoint	  (3) (MPT)	
MUS 304	  Electronic Music	  (3)	
MUS 306	  Advanced Electronic Music	  (3)	
MUS 308	  Audio Recording Techniques	  (3)	
MUS 313	  Writing About Small Screen Sounds	  (3)	
MUS 340	  Internship	  (0-20)	
MUS 342A	  Applied Music Voice- JR	  (2)	
MUS 342B	  Applied Music Piano- JR	  (2)	
MUS 342C	  Applied Guitar- JR	  (2)	
MUS 342D	  Applied Music Flute- JR	  (2)	
MUS 342E	  Applied Music Clarinet- JR	  (2)	
MUS 342F	  Applied Music Saxophone- JR	  (2)	
MUS 342G	  Applied Music Oboe- JR	  (2)	
MUS 342H	  Applied Music Bassoon- JR	  (2)	
MUS 342I	  Applied Music Trumpet- JR	  (2)	
MUS 342J	  Applied Music French Horn- JR	  (2)	
MUS 342K	  Applied Music Trombone- JR	  (2)	
MUS 342L	  Applied Music Euphonium- JR	  (2)	
MUS 342M	  Applied Music Tuba- JR	  (2)	
MUS 342N	  Applied Music Percussion- JR	  (2)	
MUS 342O	  Applied Music Violin- JR	  (2)	
MUS 342P	  Applied Music Viola- JR	  (2)	
MUS 342R	  Applied Music Cello-JR	  (2)	
MUS 342S	  Applied Music String Bass- JR	  (2)	
MUS 342T	  Applied Music Harp- JR	  (2)	
MUS 344	  Applied Music	  (3-4)	
MUS 344A	  Applied Music Voice- JR	  (3-4)	
MUS 344B	  Applied Music Piano- JR	  (3-4)	
MUS 344C	  Applied Guitar- JR	  (3)	
MUS 344D	  Applied Music Flute- JR	  (3-4)	
MUS 344E	  Applied Music Clarinet- JR	  (3-4)	
MUS 344F	  Applied Music Saxophone- JR	  (3-4)	
MUS 344G	  Applied Music Oboe- JR	  (3-4)	
MUS 344H	  Applied Music Bassoon- JR	  (3-4)	
MUS 344I	  Applied Music Trumpet- JR	  (3-4)	
MUS 344J	  Applied Music French Horn- JR	  (3-4)	
MUS 344K	  Applied Music Trombone- JR	  (3-4)	
MUS 344L	  Applied Music Euphonium- JR	  (3-4)	
MUS 344M	  Applied Music Tuba- JR	  (3-4)	
MUS 344N	  Applied Music Percussion- JR	  (3-4)	
MUS 344O	  Applied Music Violin- JR	  (3-4)	
MUS 344P	  Applied Music Viola- JR	  (3-4)	
MUS 344R	  Applied Music Cello-JR	  (3-4)	
MUS 344S	  Applied Music String Bass- JR	  (3-4)	
MUS 344T	  Applied Music Harp- JR	  (3-4)	
MUS 344Z	  Applied Music-Composition	  (3)	
MUS 345	  Elementary General Music for Instrumental Music Education Majors	  (1)	
MUS 351	  Choral Techniques	  (2)	
MUS 352	  Conducting I	  (2)	
MUS 354	  Conducting II	  (2)	
MUS 355	  General Music Teaching Techniques: Early Childhood and Elementary	  (3)	
MUS 356	  Secondary General Music Techniques	  (2)	
MUS 358	  Marching Band Techniques	  (2)	
MUS 359	  Instrumental Methods- Elementary and Secondary	  (4)	
MUS 370	  Orchestration	  (3)	
MUS 377	  Independent Studies	  (0-6)	
MUS 381	  Music for Games	  (3)	
MUS 385	  The Roots of Black Music: Blues, Gospel and Soul	  (3) (MPT)	
MUS 386	  The History and Development of Hip Hop Culture in America	  (3) (MPT)	
MUS 401/MUS 501	  Advanced Studies in Music Theory	  (3)	
MUS 403/MUS 503	  Orchestra Literature	  (3)	
MUS 404/MUS 504	  Wind Band Ensemble Literature	  (3)	
MUS 405/MUS 505	  Choral Literature	  (3)	
MUS 406	  Advanced Analysis	  (3) (MPC)	
MUS 412/MUS 512	  Reed Making for Bassoon and Oboe	  (1)	
MUS 415/MUS 515	  You Say You Want a Revolution: Rock and Roll and the Cultural Revolution of the 1960s	  (3)	
MUS 419/MUS 519	  Supervised Teaching in Music	  (12)	
MUS 420/MUS 520	  Vocal Coaching	  (1)	
MUS 425/MUS 525	  Grand Night: The Great American Songbook	  (1; maximum 4)	
MUS 426/MUS 526	  Opera Production	  (1; maximum 4)	
MUS 430/MUS 530	  Piano Pedagogy	  (2)	
MUS 433	  String Instrument Pedagogy	  (1)	
MUS 442	  Applied Music	  (1-2)	
MUS 442A	  Applied Music Voice- SR	  (2)	
MUS 442B	  Applied Music Piano- SR	  (2)	
MUS 442C	  Applied Guitar- SR	  (2)	
MUS 442D	  Applied Music Flute- SR	  (2)	
MUS 442E	  Applied Music Clarinet- SR	  (2)	
MUS 442F	  Applied Music Saxophone- JR	  (2)	
MUS 442G	  Applied Music Oboe- SR	  (2)	
MUS 442H	  Applied Music Bassoon- SR	  (2)	
MUS 442I	  Applied Music Trumpet- SR	  (2)	
MUS 442J	  Applied Music French Horn- SR	  (2)	
MUS 442K	  Applied Music Trombone- SR	  (2)	
MUS 442L	  Applied Music Euphonium- SR	  (2)	
MUS 442M	  Applied Music Tuba- SR	  (2)	
MUS 442N	  Applied Music Percussion- SR	  (2)	
MUS 442O	  Applied Music Violin- SR	  (1-2)	
MUS 442P	  Applied Music Scales Viola- SR	  (1-2)	
MUS 442R	  Applied Music Cello-SR	  (1-2)	
MUS 442S	  Applied Music String Bass- SR	  (1-2)	
MUS 442T	  Applied Music Harp- SR	  (2)	
MUS 444	  Applied Music	  (3-4)	
MUS 444A	  Applied Music Voice- SR	  (3-4)	
MUS 444B	  Applied Music Piano- SR	  (3-4)	
MUS 444C	  Applied Guitar- SR	  (3)	
MUS 444D	  Applied Music Flute- SR	  (3-4)	
MUS 444E	  Applied Music Clairnet- SR	  (3-4)	
MUS 444F	  Applied Music Saxophone- SR	  (3-4)	
MUS 444G	  Applied Music Oboe- SR	  (3-4)	
MUS 444H	  Applied Music Bassoon- SR	  (3-4)	
MUS 444I	  Applied Music Trumpet- SR	  (3-4)	
MUS 444J	  Applied Music French Horn- SR	  (3-4)	
MUS 444K	  Applied Music Trombone- SR	  (3-4)	
MUS 444L	  Applied Music Euphonium- SR	  (3-4)	
MUS 444M	  Applied Music Tuba- SR	  (3-4)	
MUS 444N	  Applied Music Percussion- SR	  (3-4)	
MUS 444O	  Applied Music Violin- SR	  (3-4)	
MUS 444P	  Applied Music Scales Viola- SR	  (3-4)	
MUS 444R	  Applied Music Cello-SR	  (3-4)	
MUS 444S	  Applied Music String Bass- SR	  (3-4)	
MUS 444T	  Applied Music Harp- SR	  (3-4)	
MUS 444Z	  Applied Music-Composition	  (3)	
MUS 451/MUS 551	  Advanced Aural Skills I	  (1)	
MUS 452/MUS 552	  Advanced Aural Skills II	  (1)	
MUS 454/MUS 554	  Guitar Repertory and Pedagogy	  (2)	
MUS 456/MUS 556	  Vocal Pedagogy	  (2)	
MUS 457/MUS 557	  Piano Literature	  (3)	
MUS 458/MUS 558	  Piano Literature	  (3)	
MUS 460/MUS 560	  Methodologies in Ethnomusicology	  (3) (MPC)	
MUS 461/MUS 561	  American Music	  (3)	
MUS 463/MUS 563	  Orchestra Conducting	  (3)	
MUS 475	  Senior Practicum in Music Education	  (3) (MPC)	
MUS 477	  Independent Studies	  (0-6)	
MUS 481	  Advanced Studies in Special Subjects	  (1-4)	
MUS 482	  Advanced Studies in Special Subjects	  (1-4)	
MUS 490/MUS 590	  Special Topics in Music	  (1-4; maximum 12)	
MUS 493	  Capstone/Senior Recital: Preparation and Performance	  (3) (MPC)	
MUS 494	  Senior Recital	  (0)	
MUS 610	  Special Project	  (1-12; maximum 12)	
MUS 611	  Research Project	  (3-4)	
MUS 621	  Graduate Research in Music	  (3)	
MUS 622	  Teaching Elementary Music: Theory and Practice	  (3)	
MUS 623	  Integrating Multiculturalism into Music Curriculum	  (3)	
MUS 626	  Foundations of Music Education	  (3)	
MUS 627	  Recent Developments in Music Education	  (3)	
MUS 628	  Research Problems in Music Education	  (3)	
MUS 630	  Advanced Ensemble	  (0-2; maximum 8)	
MUS 630A	  Collegiate Chorale	  (1-2)	
MUS 630B	  Men's Glee Club	  (1-2)	
MUS 630C	  Symphony Orchestra	  (1-2)	
MUS 630D	  Choraliers	  (1-2)	
MUS 630E	  Marching Band	  (1-2)	
MUS 630F	  Symphonic Band	  (1-2)	
MUS 630G	  Wind Ensemble	  (1-2)	
MUS 630H	  Chamber Music Brass	  (1)	
MUS 630I	  Chamber Music Strings	  (1)	
MUS 630J	  Chamber Music Piano	  (1)	
MUS 630K	  Jazz Ensemble	  (1-2)	
MUS 630M	  Miami University Percussion Ensemble	  (1)	
MUS 630N	  Steel Band	  (1-2)	
MUS 630Q	  Chamber Singers	  (1-2)	
MUS 630R	  Chamber Winds	  (1)	
MUS 630Z	  Internship: Brass Quintet	  (1)	
MUS 636	  Advanced Choral Conducting	  (2)	
MUS 640	  Internship	  (0-12; maximum 6)	
MUS 642	  Applied Music	  (1-2)	
MUS 642C	  Applied Guitar	  (2)	
MUS 644	  Applied Music	  (2-4; maximum 16)	
MUS 645	  Concepts In Music History	  (3)	
MUS 661	  Graduate Analysis	  (3)	
MUS 677	  Independent Studies	  (0-6)	
MUS 682	  Repertory	  (2; maximum 4)	
MUS 684	  Repertory	  (4)	
MUS 690	  Graduate Recital	  (1-2)	
NCS 201	  Theories of Civic Leadership and Democracy	  (3)	
NCS 202	  Introduction to Nonprofits and NGOs	  (3)	
NCS 270	  Special Topics in Community Studies	  (1-6; maximum 9)	
NCS 277	  Independent Studies	  (0-6)	
NCS 301	  Community-Based Practicum I	  (3)	
NCS 302	  Community-Based Practicum II	  (3)	
NCS 340	  Internship	  (0-20)	
NCS 377	  Independent Studies	  (0-6)	
NCS 401	  Capstone in Nonprofit and Community Studies	  (3) (MPT, MPC)	
NSC 101	  Introduction to Naval Science	  (2)	
NSC 110	  Naval Science Laboratory	  (1; maximum 2)	
NSC 125	  Marine Corps Intro to Tactical Leadership	  (1; maximum 2)	
NSC 177	  Independent Studies	  (0-6)	
NSC 202	  Sea Power and Maritime Affairs Seminar	  (3) (MPT)	
NSC 210	  Naval Science Laboratory	  (1; maximum 2)	
NSC 211	  Leadership and Management	  (3)	
NSC 225	  Marine Corps Tactical Leadership I	  (1; maximum 2)	
NSC 277	  Independent Studies	  (0-6)	
NSC 301	  Navigation	  (3) (MPT)	
NSC 302	  Naval Operations and Seamanship	  (3) (MPT)	
NSC 303	  Naval Ship Systems I	  (3)	
NSC 310	  Naval Science Laboratory	  (1; maximum 2)	
NSC 311	  Evolution of Warfare	  (3) (MPT)	
NSC 325	  Marine Corps Tactical Leadership II	  (1; maximum 2)	
NSC 377	  Independent Studies	  (0-6)	
NSC 402	  Leadership and Ethics	  (3) (MPC)	
NSC 403	  Naval Ship Systems II	  (3)	
NSC 410	  Naval Science Laboratory	  (1; maximum 2)	
NSC 411	  Fundamentals of Maneuver Warfare	  (3) (MPT)	
NSC 425	  Marine Corps Tactical Leadership III	  (1; maximum 2)	
NSC 477	  Independent Studies	  (0-6)	
NSG 177	  Independent Studies	  (0-6)	
NSG 251	  Therapeutic Communication in Nursing	  (3)	
NSG 252	  Foundations of Professional Nursing	  (3)	
NSG 261	  Health and Physical Assessment	  (3)	
NSG 262	  Fundamentals of Professional Nursing Practice	  (4)	
NSG 263	  Community Health Nursing	  (3)	
NSG 277	  Independent Studies	  (0-6)	
NSG 301	  Theory-Based Nursing Practice	  (3)	
NSG 302	  Intermediate Clinical Nursing Practicum	  (3)	
NSG 311	  Health Promotion Across the Lifespan	  (3)	
NSG 313	  Assessment of the Well Individual	  (2)	
NSG 317	  Teaching Strategies in Health Care	  (3)	
NSG 321	  U	 S. Health Care System and Culture.  (3)	
NSG 325	  Problem-Based Approaches in Nursing	  (1)	
NSG 331	  Introduction to Nursing Research	  (3)	
NSG 340	  Internship	  (0-20)	
NSG 341	  Caring and Terminal Illness	  (3)	
NSG 343	  Health Care Informatics	  (3)	
NSG 349	  Introduction to Principles of Pharmacology in Nursing Practice	  (3)	
NSG 351	  Nursing of Childbearing Family	  (3)	
NSG 352	  Childbearing Family Clinical	  (2)	
NSG 353	  Nursing Care of Adult Clients with Health Alterations I	  (3)	
NSG 354	  Nursing Care of Adult Clients with Health Alterations I-Clinical	  (3)	
NSG 361	  Nursing Care of Adult Clients with Health Alterations II	  (3)	
NSG 362	  Nursing Care of Adult Clients with Health Alterations II-Clinical	  (3)	
NSG 363	  Nursing Care of Children	  (3)	
NSG 364	  Nursing Care of Children-Clinical	  (2)	
NSG 365	  Nursing Research	  (2-3)	
NSG 377	  Independent Studies	  (0-6)	
NSG 402	  The Professional Nurse Leader	  (3)	
NSG 418	  Perspectives of Chronic Disease	  (3)	
NSG 420	  Focused Practicum in Baccalaureate and Expanded Nursing Roles	  (2)	
NSG 430	  Community Health Nursing	  (4)	
NSG 432	  Population Focused Nursing Care- Clinical	  (2)	
NSG 435	  Challenges in Health Care Delivery	  (3) (MPC)	
NSG 441	  Health and Aging: Current Perspectives and Issues	  (3)	
NSG 451	  Nursing Care of Clients Experiencing Mental Health Disorders and Their Families	  (3)	
NSG 452	  Nursing Care of Clients Experiencing Mental Health Disorders and Their Families-Clinical	  (3)	
NSG 461	  Nursing Care of Older Adults	  (3)	
NSG 463	  Nursing Care of Clients Experiencing Multi-System Health Alterations	  (3)	
NSG 464	  Nursing Care of Clients Experiencing Multi-System Health Alterations-Clinical	  (5)	
NSG 465	  Nursing Senior Seminar	  (1-2)	
NSG 477	  Independent Studies	  (0-6)	
ORG 354	  The Social Dynamics of Strategy and Leadership	  (3)	
ORG 360	  Current Issues in Organizational Leadership	  (3; maximum 6)	
ORG 361	  Innovation in Organizations	  (3)	
ORG 471	  Organizational Leadership Capstone	  (3) (MPC)	
PHL 103	  Society and the Individual	  (3) (MPF)	
PHL 104	  Purpose or Chance in the Universe	  (3) (MPF, MPT)	
PHL 105	  Theories of Human Nature	  (3) (MPF, MPT)	
PHL 106	  Thought and Culture of India	  (3) (MPF)	
PHL 131	  Introduction to Ethics	  (3) (MPF, MPT)	
PHL 177	  Independent Studies	  (0-6)	
PHL 205	  Science and Culture	  (3)	
PHL 241	  Philosophy of Art	  (3)	
PHL 245	  Writing Philosophy	  (3)	
PHL 263	  Informal Logic	  (3) (MPT)	
PHL 265	  Confronting Death	  (3) (MPT)	
PHL 273	  Formal Logic	  (4) (MPF, MPT)	
PHL 277	  Independent Studies	  (0-6)	
PHL 286	  Data, Ethics, and Society	  (3)	
PHL 301	  Ancient Philosophy	  (4) (MPT)	
PHL 302	  Modern Philosophy	  (4) (MPT)	
PHL 310	  Special Topics	  (1-4; maximum 8)	
PHL 311	  Ethical Theory	  (4)	
PHL 312	  Contemporary Moral Problems	  (4) (MPT)	
PHL 321	  Problems of Metaphysics and Knowledge	  (3) (MPT)	
PHL 331	  Political Philosophy	  (3)	
PHL 335	  Philosophy of Law	  (4)	
PHL 340	  Internship	  (0-20)	
PHL 355	  Feminist Theory	  (3) (MPT)	
PHL 360	  Interdisciplinary Special Topics	  (1-4; maximum 8)	
PHL 373	  Symbolic Logic	  (4) (MPT)	
PHL 375	  Medical Ethics	  (4) (MPT)	
PHL 376	  Environmental Philosophy	  (4) (MPT)	
PHL 377	  Independent Studies	  (0-6)	
PHL 394	  Existentialism	  (3) (MPT)	
PHL 402/PHL 502	  19th Century Philosophy	  (4)	
PHL 404	  What is Philosophy?	  (3) (MPC)	
PHL 410/PHL 510	  Special Topics	  (1-4)	
PHL 411/PHL 511	  Advanced Ethical Theories	  (4)	
PHL 420/PHL 520	  Seminar in Twentieth Century Philosophy	  (4; maximum 8)	
PHL 430/PHL 530	  Seminar in Ancient or Medieval Philosophy	  (4)	
PHL 440/PHL 540	  Seminar in Modern Philosophy	  (4)	
PHL 450/PHL 550	  Seminar in Contemporary Philosophy	  (4)	
PHL 459/PHL 559	  Political Philosophy Seminar	  (4)	
PHL 470/PHL 570	  Advanced Aesthetics	  (4)	
PHL 477	  Independent Studies	  (0-6)	
PHL 480	  Independent Reading for Departmental Honors	  (1-6)	
PHL 493/PHL 593	  Phenomenological Method	  (4)	
PHL 494/PHL 594	  Philosophy of Mind	  (4)	
PHL 496/PHL 596	  Epistemology	  (4)	
PHL 600	  Independent Reading Philosophy	  (1-6; maximum 12)	
PHL 601	  Practicum in Teaching Philosophy	  (2)	
PHL 610	  Research Seminar	  (3-4)	
PHL 620	  Advanced Topics in Philosophy	  (3-4; maximum 14)	
PHY 101	  Physics and Society	  (3) (MPF)	
PHY 103	  Concepts in Physics Laboratory	  (1) (MPF)	
PHY 111	  Astronomy and Space Physics	  (3) (MPF, MPT)	
PHY 118	  Introduction to Atmospheric Science	  (3) (MPF)	
PHY 121	  Energy and Environment	  (3) (MPF)	
PHY 131	  Physics for Music	  (3) (MPF)	
PHY 141	  Physics in Sports	  (3) (MPF)	
PHY 161	  Physics for the Life Sciences with Laboratory I	  (4) (MPF)	
PHY 162	  Physics for the Life Sciences with Laboratory II	  (4) (MPF)	
PHY 177	  Independent Studies	  (0-6)	
PHY 185	  Experiencing The Physical World	  (1)	
PHY 191	  General Physics with Laboratory I	  (5) (MPF)	
PHY 192	  General Physics with Laboratory II	  (5)	
PHY 211	  Observational Foundations of Astronomy	  (3) (MPT)	
PHY 215	  Physics by Inquiry	  (3)	
PHY 277	  Independent Studies	  (0-6)	
PHY 281	  Contemporary Physics I: Foundations	  (3) (MPT)	
PHY 282	  Contemporary Physics II: Frontiers	  (3)	
PHY 286	  Introduction to Computational Physics	  (3) (MPT)	
PHY 292	  Electronic Instrumentation	  (2) (MPT)	
PHY 293	  Contemporary Physics Laboratory	  (2) (MPT)	
PHY 294	  Laboratory in Electronic Instrumentation	  (2) (MPT)	
PHY 311	  Contemporary Astronomy	  (3) (MPT)	
PHY 340	  Internship	  (0-20)	
PHY 377	  Independent Studies	  (0-6)	
PHY 400/PHY 500	  Physics Seminar	  (1; maximum 4)	
PHY 401	  Physics Assessment Examination	  (0)	
PHY 410	  Topics in Physics Seminar	  (1-3; maximum 12)	
PHY 421/PHY 521	  Molecular and Cellular Biophysics	  (4)	
PHY 422/PHY 522	  Physics for Medicine and Biology	  (4)	
PHY 427/PHY 527	  Nano-scale Science and Technology	  (3)	
PHY 430/PHY 530	  Topics in Physics	  (1-4; maximum 12)	
PHY 431/PHY 531	  Elementary Particle Physics	  (3)	
PHY 437/PHY 537	  Intermediate Thermodynamics and Introduction to Statistical Physics	  (4)	
PHY 440	  Research	  (1-4; maximum 12)	
PHY 441/PHY 541	  Optics and Laser Physics	  (4)	
PHY 442/PHY 542	  Spectroscopy of Atoms and Molecules	  (4)	
PHY 451/PHY 551	  Classical Mechanics	  (4)	
PHY 461/PHY 561	  Electromagnetic Theory	  (4)	
PHY 467	  Seismology	  (3)	
PHY 471/PHY 571	  Advanced Electronics	  (3)	
PHY 477	  Independent Studies	  (0-6)	
PHY 480	  Departmental Honors	  (1-6; maximum 6)	
PHY 481/PHY 581	  Gravitation and Spacetime	  (3)	
PHY 483/PHY 583	  Mathematical Methods in Physics	  (4)	
PHY 486/PHY 586	  Advanced Computational Physics	  (3)	
PHY 488A	  Research Capstone in Physics	  (3)	
PHY 488B	  Research Capstone in Physics	  (3)	
PHY 491/PHY 591	  Introduction to Quantum Mechanics I	  (4)	
PHY 610	  Research	  (1-10; maximum 10)	
PHY 620	  Topics in Modern Physics	  (1-4; maximum 10)	
PHY 623	  Solid State Physics	  (3)	
PHY 642	  Advanced Kinetic Theory and Statistical Mechanics	  (4)	
PHY 651	  Quantum and Nonlinear Optics	  (3)	
PHY 671	  Electromagnetism	  (4)	
PHY 677	  Independent Studies	  (0-6)	
PHY 691	  Modern Quantum Physics	  (4)	
PHY 692	  Modern Quantum Physics	  (4)	
PHY 700	  Research for Master's Thesis	  (1-12; maximum 12)	
PLW 101	  Exploring Careers in Law I	  (1)	
PLW 201	  Exploring Careers in Law II	  (1)	
PLW 230	  Mock Trial	  (2; maximum 6)	
PLW 401	  Preparing for a Career in Law	  (1)	
PMD 101	  Explorations in Healthcare Careers	  (1)	
PMD 210	  Premedical Scholars Seminar: Discussions in healthcare	  (1; maximum 4)	
PMD 301	  Navigating Healthcare Professional School Admissions	  (1)	
PMD 340	  Internship	  (0-20)	
POL 140	  Topics in Contemporary Politics	  (1-3; maximum 4)	
POL 142	  American Politics and Diversity	  (3) (MPF)	
POL 160	  The Challenge of Public Leadership	  (1; maximum 3)	
POL 177	  Independent Studies	  (0-6)	
POL 201	  Political Thinking	  (3)	
POL 221	  Comparative Politics	  (3) (MPF)	
POL 241	  American Political System	  (3) (MPF, MPT)	
POL 254	  Introduction to Russian and Eurasian Studies	  (3)	
POL 261	  Public Administration	  (3) (MPT)	
POL 268	  State and Local Government and Politics	  (3)	
POL 270	  Current World Problems	  (1; maximum 6)	
POL 271	  World Politics	  (3) (MPF, MPT)	
POL 277	  Independent Studies	  (0-6)	
POL 302	  Classical Political Philosophy	  (3)	
POL 303	  Modern Political Philosophy	  (3) (MPT)	
POL 306	  Applied Research Methods	  (3)	
POL 307	  Public Opinion Laboratory	  (0-4; maximum 6)	
POL 308	  Introduction to Programming and Scripting for Data Analytics	  (3)	
POL 321L	  Comparative European Pol:Lux	  (3)	
POL 330	  Topics in Comparative Politics	  (3; maximum 9)	
POL 331	  Communism and Soviet Politics, 1917-1991	  (3) (MPT)	
POL 332	  Post-Soviet Russian Politics	  (3) (MPT)	
POL 333	  Politics of Western Europe	  (3)	
POL 334	  Politics of Eastern Europe	  (3) (MPT)	
POL 336	  Politics of the Middle East	  (3)	
POL 337	  Politics of Latin America	  (3) (MPT)	
POL 340	  Internship	  (0-20)	
POL 343	  American Presidency	  (3) (MPT)	
POL 344	  U	S. Congress.  (3) (MPT)	
POL 345	  National Issues	  (3)	
POL 346	  Global Gender Politics	  (3) (MPT)	
POL 348	  Gender Politics & Policy in the United States	  (3)	
POL 351	  Criminal Justice	  (3)	
POL 352	  Constitutional Law and Politics	  (3) (MPT)	
POL 353	  Constitutional Rights and Liberties	  (3) (MPT)	
POL 356	  Mass Media and Politics	  (3) (MPT)	
POL 357	  Politics of Organized Interests	  (3)	
POL 358	  Political Parties in American Politics	  (3)	
POL 359	  U	S. Campaigns and Elections.  (3)	
POL 361	  Nonprofits: Politics & Policy	  (3)	
POL 362	  Public Management, Leadership, and Administrative Politics	  (3) (MPT)	
POL 363	  Administrative Law	  (3)	
POL 364	  Federalism and Intergovernmental Relations	  (3) (MPT)	
POL 365	  Decision-Making in Public Affairs	  (3)	
POL 370	  Topics in International Relations	  (3; maximum 9)	
POL 373	  American Foreign Policy	  (3) (MPT)	
POL 374	  Foreign Policy Analysis	  (3)	
POL 376	  U	S. National Security Policy.  (3) (MPT)	
POL 377	  Independent Studies	  (0-6)	
POL 378	  Latin America: The Region and the World	  (3) (MPT)	
POL 381	  Global Governance	  (3) (MPT)	
POL 382	  International Law	  (3) (MPT)	
POL 387	  International Security Issues	  (3) (MPT)	
POL 388	  Politics of Cybersecurity	  (3)	
POL 399D	  The Balkans: HST, POL and Cult	  (6)	
POL 406	  Public Policy Analysis Laboratory	  (2)	
POL 411/POL 511	  American Political Thought	  (3) (MPC)	
POL 419/POL 519	  Civil Society and Modern Politics	  (3) (MPC)	
POL 423/POL 523	  European Union: Politics and Policies	  (3) (MPC)	
POL 426	  Inside Washington	  (8)	
POL 427	  Inside Washington Semester Experience	  (4; maximum 4)	
POL 430/POL 530	  Seminar on Comparative Political Systems	  (3; maximum 6)	
POL 437	  Cyberlaw	  (3)	
POL 440/POL 540	  Havighurst Colloquium	  (3)	
POL 454	  The Washington Community	  (3-4; maximum 4)	
POL 459/POL 559	  Capstone Seminar on the American Political System	  (3) (MPC)	
POL 459G	  Practical Politics in the U	S..  (3)	
POL 460/POL 560	  Seminar on Public Administration and Policy Analysis	  (3)	
POL 466/POL 566	  Public Policy Analysis	  (3) (MPC)	
POL 467/POL 567	  Public Budgeting	  (3) (MPT)	
POL 468/POL 568	  Public Personnel Administration	  (3) (MPT)	
POL 471/POL 571	  The International System	  (3) (MPC)	
POL 477	  Independent Studies	  (0-6)	
POL 487	  Individual Lives and International Politics	  (3) (MPC)	
POL 489/POL 589	  Conflict Management in a Divided World	  (3) (MPC)	
POL 601	  Foundations of Political Analysis	  (3)	
POL 602	  Research and Writing for Political Scientists	  (2)	
POL 603	  Introduction to Quantitative Methods	  (2)	
POL 604	  Public Policy Research	  (2)	
POL 605	  Writing Workshop for Final Project for Master's Degree	  (1)	
POL 606	  Final Project for Master's Degree	  (3)	
POL 630	  Seminar: Comparative Political Systems	  (4; maximum 8)	
POL 640	  Internship	  (0-12; maximum 6)	
POL 650	  Seminar on the American Political System	  (4; maximum 8)	
POL 660	  Seminar on Public Administration and Policy Analysis	  (4; maximum 8)	
POL 670	  Seminar on International Relations	  (4; maximum 8)	
POL 677	  Independent Studies	  (0-6)	
POL 695	  Research Tutorial for Master's Degree	  (4)	
POL 700	  Research for Master's Thesis	  (1-12; maximum 12)	
POL 710	  Research on Political Theory and Methodology	  (4; maximum 12)	
POL 730	  Research on Comparative Political Systems	  (4; maximum 12)	
POL 750	  Research on the American Political System	  (4; maximum 12)	
POL 760	  Research on Public Administration and Policy Analysis	  (4; maximum 12)	
POL 770	  Research on International Relations	  (4; maximum 12)	
POL 780	  Readings in Political Science	  (1-4; maximum 4)	
POL 790	  Directed Study in Political Science	  (1-16; maximum 24)	
POL 850	  Research for Doctoral Dissertation	  (1-16; maximum 60)	
POR 111	  Accelerated Introduction to Portuguese	  (4)	
POR 177	  Independent Studies	  (0-6)	
POR 204	  Brazilian Culture Through Music and Film	  (3) (MPF)	
POR 211	  Intermediate Portuguese	  (4)	
POR 277	  Independent Studies	  (0-6)	
POR 377	  Independent Studies	  (0-6)	
POR 381	  Afro-Brazilian Diaspora Through Film and Arts	  (3)	
POR 383	  Brazilian Women through Literature and Film	  (3) (MPF)	
POR 477	  Independent Studies	  (0-6)	
PSS 177	  Independent Studies	  (0-6)	
PSS 211	  Career Development in Psychology & Related Social Sciences	  (3)	
PSS 277	  Independent Studies	  (0-6)	
PSS 301	  Introduction to Industrial and Organizational Psychology	  (3)	
PSS 312	  Drugs and Behavior	  (3)	
